类别,标题
高校心理健康,基于公共匿名平台数据的高校大学生心理健康问题识别系统
农业大数据,基于SOA农业大数据管理服务平台
药品监测,基于对抗性迁移学习的药品不良反应监测研究
新冠病毒分析,大数据技术在新冠病毒基因组序列分析中的应用
新冠疫情分析,数据解读新冠疫情与全球应对--基于因果机器学习的新冠疫情与全球经济无偏分析
疫情防控,“动态清零”视角下的疫情防控决策支撑预测模型
舆情分析,面向社交大数据的舆情分析系统
社区防控,基于大数据技术的社区疫情防控平台
投资决策,基于公告事件的投资决策分析系统
旅游分析,基于UGC社交数据分析的芜湖市目的地形象感知平台
智慧助老,“数字反哺”—基于时空大数据和神经网络技术的智慧助老大数据平台
药物系统,掌上药典——基于知识图谱的一站式药物系统
运动识别,基于深度学习的运动意图识别算法研究
医疗检测,基于医疗磁通大数据的人体金属植入物检测方案
历史知识库,《资治通鉴》数字人文知识库
药物筛选,基于机器学习的药物筛选的QSAR模型构建
病毒预测,一种基于BERT的病毒B细胞表位预测工具
新冠预测,新冠病亡率预测及其对经济的影响
智慧养老,基于区块链和大数据分析技术的智慧养老服务平台
疫情预测,基于时变SEIR模型的中国疫情预测及数据可视化平台
文化问答,基于中华文化知识图谱的智能问答可视化平台
疾病防控,传染疾病精准防控与智能分析系统
疫苗研究,对疫情严重程度影响因素及疫苗分配不公的研究
电力分析,电力大数据智能分析处理系统
数字化防疫,后疫情时代数字化防疫防控辅助系统
全球应对,数据解读后疫情时代的全球应对与中国策略
风险分析,从大数据中解读疫情衍生风险
基因分析,基于异构计算的基因大数据GWAS算法计算加速研究
疫情分析,大数据下的新冠疫情
军事分析,军链-基于知识图谱的BILSTM-CRF和BIGRU自然语言处理模型和杀伤链匹配系统
企业预警,“负面预警通”——面向海量互联网文本的企业负面事件智能预警系统
水污染监测,面向多维水污染时间序列矩阵分析的河道精准监测应用
医疗诊断,基于元学习孪生网络的舌象辅助诊断
肺炎识别,基于深度学习的CXR图像肺炎识别和病灶定位系统
论文推荐,CAIPredictor——基于国际文献大数据的跨领域论文推荐系统
抗疫未来,数智抗疫向未来
水位预测,基于深度学习的西江航道水位预测服务系统研究
智慧医疗,智慧医疗服务平台
经济分析,基于时间序列模型和聚类分析解读全球经济
政策分析,新冠疫情下不同类型国家政策的比较分析
舆论分析,基于微博关键词提取的上海疫情舆论热点情感分析
水位预测,基于ARIMA-CNN-LSTM的多变量黄河水位时间序列预测模型研究
司法平台,基于知识图谱的智慧司法平台
医学文献,“医”来二去：海量医学文献的语义消歧与推荐系统
人才招聘,基于Hive数据仓库和Sklearn回归分析人才招聘大数据
虫害识别,基于卷积神经网络的核桃虫害识别系统
全景医疗,360°云医——基于深度学习的全景医疗系统
情感识别,基于半监督深度学习的弹幕文本大数据情感识别系统
COVID-19检测,简医——基于深度卷积神经网络的COVID-19胸片检测与辅助诊断平台
养殖分析,基于无监督学习的水产品养殖周期态势特征建模分析
陶瓷识别,悠悠识瓷-基于VGG神经网络的陶瓷器型与纹饰识别小程序
药物预测,预药阁——基于多视图学习的药物药物相互作用预测平台
生态环境,锡林郭勒盟生态环境数据挖掘、评估、预测与改善方案
客流预测,基于LightGBM的地铁客流预测和站点分类可视分析系统
排污监测,Envir-Monitor—基于多算法融合的排污异常监测系统
校园管理,基于海量校园大数据的实时校园管理系统—以四川农业大学为例
长者食堂,基于数据分析的智能长者食堂
营养配餐,营养花园-基于多模型融合推荐算法的营养配餐系统
碳分析,碳从何来？又往何去？——基于CGE模型和Attention-DRL的“双碳”国情分析
智能诊断,基于联邦学习的云-边-端智能协同诊断平台
网络水军检测,SpiderX-基于图论与深度学习的网络水军智能检测
无线电监管,航空无线电异常信号及干扰源辅助监管系统
恶意拓展监测,基于多模态特征融合的浏览器恶意拓展监测系统
社交云相册,“映像”——基于AI分类的社交云相册
密钥生成,信道大数据分析与物理层密钥生成系统
智能导览,观往知来——基于顾客逛店轨迹的智能导览与推荐系统
股票决策,基于超图神经网络的股票辅助智能决策系统